Starz,History,19,6.950000
Starz,Romance,69,6.730000
Starz,Fantasy,23,6.620000
Starz,Action,108,6.570000
Starz,Science Fiction,37,6.560000
Starz,Thriller,118,6.550000
Starz,Adventure,46,6.550000
Starz,Mystery,33,6.450000
Starz,Comedy,162,6.440000
Starz,War,7,6.350000
Starz,Horror,41,6.320000
Starz,Family,16,6.280000
Starz,Animation,9,6.100000
Starz,TV Movie,4,5.470000
Sundance Now,Animation,2,7.910000
Sundance Now,Family,1,7.780000
Sundance Now,Crime,38,7.100000
Sundance Now,Documentary,5,7.100000
Sundance Now,Music,2,7.060000
Sundance Now,Drama,158,6.880000
Sundance Now,Action,19,6.800000
Sundance Now,History,20,6.800000
Sundance Now,Romance,47,6.800000
Sundance Now,Fantasy,14,6.750000
Sundance Now,War,7,6.730000
Sundance Now,Comedy,65,6.580000
Sundance Now,Western,6,6.550000
Sundance Now,Thriller,86,6.510000
Sundance Now,Mystery,31,6.430000
Sundance Now,Adventure,7,6.180000
Sundance Now,Science Fiction,18,6.180000
Sundance Now,Horror,71,6.080000
